archetype,era,cost,source
linear 2-cmt PK,pre0622,3.8836,registry
linear 2-cmt PK,pre0622,1.4821,registry
linear 2-cmt PK,pre0622,25.6763,registry
linear 2-cmt PK,pre0622,0.9581,registry
TMDD,pre0622,9.2912,registry
TMDD,pre0622,10.4407,registry
linear 1-cmt PK,pre0622,23.2051,registry
linear 1-cmt PK,pre0622,8.4751,registry
linear 1-cmt PK,pre0622,14.7296,registry
linear 2-cmt PK,pre0622,13.8027,registry
indirect-response PD,pre0622,22.6645,registry
TTE/survival,pre0622,16.022,registry
indirect-response PD,pre0622,14.3726,registry
linear 2-cmt PK,pre0622,10.1919,registry
linear 1-cmt PK,pre0622,14.0257,registry
linear 1-cmt PK,pre0622,11.5628,registry
linear 1-cmt PK,pre0622,9.9638,registry
linear 1-cmt PK,pre0622,9.7375,registry
linear 1-cmt PK,pre0622,8.1185,registry
linear 1-cmt PK,pre0622,9.7843,registry
linear 2-cmt PK,pre0622,8.0036,registry
linear 3-cmt PK,pre0622,12.6337,registry
linear 1-cmt PK,pre0622,5.9822,registry
linear 2-cmt PK,pre0622,10.538,registry
Emax/effect PD,pre0622,11.2331,registry
linear 2-cmt PK,pre0622,7.7782,registry
linear 1-cmt PK,pre0622,11.6768,registry
linear 1-cmt PK,pre0622,21.4296,registry
linear 1-cmt PK,pre0622,11.0826,registry
linear 1-cmt PK,pre0622,8.6831,registry
linear 2-cmt PK,pre0622,8.2515,registry
Emax/effect PD,pre0622,13.9649,registry
linear 2-cmt PK,pre0622,8.063,registry
linear 2-cmt PK,pre0622,11.8088,registry
linear 3-cmt PK,pre0622,13.2534,registry
linear 3-cmt PK,pre0622,9.5056,registry
linear 1-cmt PK,pre0622,13.7818,registry
Emax/effect PD,pre0622,14.6399,registry
Emax/effect PD,pre0622,19.397,registry
Emax/effect PD,pre0622,14.0362,registry
Emax/effect PD,pre0622,1.8714,registry
linear 3-cmt PK,pre0622,1.0527,registry
linear 2-cmt PK,pre0622,12.8762,registry
linear 1-cmt PK,pre0622,15.3943,registry
linear 2-cmt PK,pre0622,11.1124,registry
indirect-response PD,pre0622,13.6202,registry
linear 2-cmt PK,pre0622,12.6332,registry
linear 2-cmt PK,pre0622,19.1783,registry
linear 1-cmt PK,pre0622,11.6334,registry
linear 3-cmt PK,pre0622,16.092,registry
linear 2-cmt PK,pre0622,10.6969,registry
linear 1-cmt PK,pre0622,2.1875,registry
linear 1-cmt PK,pre0622,7.5032,registry
linear 2-cmt PK,pre0622,10.8125,registry
linear 3-cmt PK,pre0622,2.7321,registry
linear 2-cmt PK,pre0622,19.9331,registry
linear 2-cmt PK,pre0622,21.082,registry
TMDD,pre0622,11.4993,registry
MM/nonlinear PK,pre0622,9.4459,registry
linear 3-cmt PK,pre0622,22.3175,registry
Emax/effect PD,pre0622,13.9649,registry
MM/nonlinear PK,pre0622,11.1794,registry
TMDD,pre0622,8.6733,registry
TMDD,pre0622,8.3519,registry
Emax/effect PD,pre0622,14.6399,registry
Emax/effect PD,pre0622,19.397,registry
Emax/effect PD,pre0622,14.0362,registry
Emax/effect PD,pre0622,1.8714,registry
linear 2-cmt PK,pre0622,8.4685,registry
linear 1-cmt PK,pre0622,8.4092,registry
Emax/effect PD,pre0622,19.7874,registry
linear 2-cmt PK,pre0622,10.6131,registry
linear 3-cmt PK,pre0622,12.2817,registry
TMDD,pre0622,11.5842,registry
linear 2-cmt PK,baseline,18.1423,registry
linear 1-cmt PK,pre0622,5.571,registry
TTE/survival,pre0622,10.9036,registry
linear 2-cmt PK,pre0622,7.8182,registry
TMDD,pre0622,9.2912,registry
TMDD,pre0622,10.4407,registry
linear 3-cmt PK,pre0622,9.8167,registry
linear 1-cmt PK,pre0622,20.4783,registry
linear 3-cmt PK,pre0622,21.3118,registry
linear 1-cmt PK,pre0622,11.5628,registry
Emax/effect PD,pre0622,13.9649,registry
linear 1-cmt PK,pre0622,7.8191,registry
TMDD,pre0622,14.1851,registry
TMDD,pre0622,10.5923,registry
linear 2-cmt PK,pre0622,19.1783,registry
MM/nonlinear PK,pre0622,11.3935,registry
MM/nonlinear PK,pre0622,12.8011,registry
linear 1-cmt PK,pre0622,14.9724,registry
Emax/effect PD,pre0622,11.5613,registry
indirect-response PD,pre0622,9.6395,registry
linear 3-cmt PK,pre0622,3.1833,registry
linear 1-cmt PK,pre0622,8.6574,registry
MM/nonlinear PK,pre0622,8.5375,registry
linear 2-cmt PK,pre0622,8.0471,registry
linear 2-cmt PK,pre0622,6.9418,registry
linear 3-cmt PK,pre0622,15.0993,registry
linear 3-cmt PK,pre0622,7.6244,registry
linear 3-cmt PK,pre0622,6.8548,registry
linear 2-cmt PK,pre0622,1.2325,registry
linear 2-cmt PK,pre0622,9.7035,registry
linear 1-cmt PK,pre0622,17.7864,registry
linear 1-cmt PK,pre0622,1.5029,registry
linear 1-cmt PK,pre0622,5.8033,registry
linear 1-cmt PK,pre0622,7.2429,registry
linear 2-cmt PK,pre0622,8.6831,registry
linear 2-cmt PK,pre0622,6.6826,registry
linear 1-cmt PK,pre0622,8.932,registry
linear 1-cmt PK,pre0622,7.1953,registry
linear 1-cmt PK,pre0622,1.7673,registry
linear 2-cmt PK,pre0622,7.7417,registry
linear 1-cmt PK,pre0622,5.1474,registry
linear 2-cmt PK,pre0622,19.2996,registry
linear 1-cmt PK,pre0622,10.7543,registry
linear 3-cmt PK,pre0622,6.0903,registry
linear 3-cmt PK,pre0622,3.4322,registry
linear 2-cmt PK,pre0622,14.7947,registry
linear 1-cmt PK,pre0622,14.7119,registry
linear 1-cmt PK,pre0622,16.1615,registry
linear 2-cmt PK,baseline,1.5026,registry
linear 1-cmt PK,pre0622,6.2933,registry
linear 2-cmt PK,pre0622,5.111,registry
linear 2-cmt PK,pre0622,6.0581,registry
linear 1-cmt PK,pre0622,13.3853,registry
linear 2-cmt PK,pre0622,9.5801,registry
linear 1-cmt PK,pre0622,7.7453,registry
linear 1-cmt PK,pre0622,1.3535,registry
linear 2-cmt PK,pre0622,10.8981,registry
TTE/survival,pre0622,20.1751,registry
TTE/survival,pre0622,13.67,registry
linear 1-cmt PK,pre0622,7.4971,registry
linear 2-cmt PK,pre0622,14.0395,registry
linear 3-cmt PK,pre0622,0.9124,registry
linear 3-cmt PK,pre0622,18.6663,registry
linear 2-cmt PK,pre0622,9.5598,registry
linear 2-cmt PK,pre0622,5.341,registry
linear 1-cmt PK,pre0622,9.7476,registry
linear 2-cmt PK,pre0622,1.1426,registry
linear 2-cmt PK,pre0622,12.3801,registry
linear 2-cmt PK,pre0622,8.5282,registry
linear 2-cmt PK,pre0622,6.3183,registry
linear 1-cmt PK,pre0622,15.1461,registry
linear 2-cmt PK,pre0622,11.4332,registry
linear 2-cmt PK,pre0622,15.4687,registry
linear 2-cmt PK,pre0622,9.1926,registry
linear 1-cmt PK,pre0622,7.9674,registry
linear 2-cmt PK,pre0622,4.6744,registry
linear 2-cmt PK,pre0622,10.9637,registry
TMDD,pre0622,4.7411,registry
TTE/survival,pre0622,23.7002,registry
linear 2-cmt PK,pre0622,16.9321,registry
linear 1-cmt PK,pre0622,7.1131,registry
linear 1-cmt PK,pre0622,16.4994,registry
linear 1-cmt PK,pre0622,5.6863,registry
linear 1-cmt PK,pre0622,1.97,registry
linear 1-cmt PK,pre0622,8.7746,registry
Emax/effect PD,pre0622,12.2325,registry
linear 3-cmt PK,pre0622,12.4203,registry
linear 2-cmt PK,pre0622,7.9478,registry
linear 2-cmt PK,pre0622,12.9681,registry
linear 2-cmt PK,pre0622,20.2554,registry
linear 1-cmt PK,pre0622,9.8737,registry
MM/nonlinear PK,pre0622,3.3641,registry
linear 1-cmt PK,pre0622,13.8705,registry
linear 1-cmt PK,pre0622,2.1194,registry
linear 1-cmt PK,pre0622,6.0039,registry
MM/nonlinear PK,pre0622,7.1494,registry
linear 2-cmt PK,pre0622,5.8606,registry
linear 2-cmt PK,pre0622,10.0407,registry
linear 3-cmt PK,pre0622,1.4189,registry
linear 2-cmt PK,pre0622,7.5396,registry
linear 2-cmt PK,pre0622,3.7902,registry
linear 3-cmt PK,pre0622,8.2569,registry
linear 2-cmt PK,pre0622,9.8531,registry
MM/nonlinear PK,pre0622,4.1998,registry
linear 1-cmt PK,pre0622,15.1056,registry
linear 2-cmt PK,pre0622,8.9414,registry
linear 1-cmt PK,pre0622,11.2309,registry
linear 1-cmt PK,pre0622,7.2037,registry
MM/nonlinear PK,pre0622,14.1851,registry
MM/nonlinear PK,pre0622,10.5923,registry
linear 1-cmt PK,pre0622,16.3381,registry
linear 3-cmt PK,pre0622,2.8374,registry
Emax/effect PD,pre0622,17.3389,registry
linear 1-cmt PK,pre0622,23.891,registry
linear 2-cmt PK,pre0622,12.6332,registry
linear 3-cmt PK,pre0622,2.6999,registry
TTE/survival,pre0622,19.7126,registry
Emax/effect PD,pre0622,14.6399,registry
Emax/effect PD,pre0622,19.397,registry
Emax/effect PD,pre0622,14.0362,registry
Emax/effect PD,pre0622,1.8714,registry
linear 1-cmt PK,pre0622,6.9354,registry
linear 1-cmt PK,pre0622,6.6726,registry
Emax/effect PD,pre0622,8.1185,registry
Emax/effect PD,pre0622,9.7843,registry
linear 3-cmt PK,pre0622,7.9472,registry
Emax/effect PD,pre0622,11.1317,registry
linear 2-cmt PK,recent,6.3465,worktree
indirect-response PD,recent,18.3076,worktree
linear 2-cmt PK,recent,12.592,worktree
linear 2-cmt PK,recent,1.4656,worktree
TTE/survival,recent,24.2682,worktree
linear 1-cmt PK,recent,8.6284,worktree
linear 2-cmt PK,recent,18.0145,worktree
linear 2-cmt PK,baseline,21.1717,worktree
linear 3-cmt PK,baseline,12.785,worktree
linear 2-cmt PK,baseline,9.8244,worktree
TTE/survival,baseline,26.7827,worktree
TTE/survival,baseline,26.7827,worktree
TTE/survival,baseline,26.7827,worktree
TTE/survival,baseline,26.7827,worktree
TTE/survival,baseline,26.7827,worktree
Emax/effect PD,baseline,35.2306,worktree
TTE/survival,baseline,17.7225,worktree
linear 1-cmt PK,baseline,6.6366,worktree
linear 2-cmt PK,baseline,8.1364,worktree
indirect-response PD,baseline,19.3173,worktree
TMDD,baseline,15.9927,worktree
linear 2-cmt PK,baseline,14.2513,worktree
indirect-response PD,baseline,14.9513,worktree
Emax/effect PD,baseline,34.3798,worktree
TMDD,baseline,20.1592,worktree
TMDD,baseline,20.1592,worktree
linear 1-cmt PK,baseline,11.5052,worktree
linear 2-cmt PK,baseline,7.7223,worktree
Emax/effect PD,baseline,27.1846,worktree
linear 2-cmt PK,baseline,17.0146,worktree
linear 2-cmt PK,baseline,17.2759,worktree
